release_date,movie_title,production_budget,domestic_gross,worldwide_gross,genres,start_year,runtime_minutes,averagerating,numvotes,Revenue
30-09-2016,Deepwater Horizon,156000000.0,61433527.0,122603824.0,"Action,Drama,History",2016,107.0,7.1,133303,-33396176.0
10-12-2010,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000.0,104386950.0,418186950.0,"Adventure,Family,Fantasy",2010,113.0,6.3,129663,263186950.0
23-03-2018,Pacific Rim: Uprising,155000000.0,59874525.0,290930148.0,"Action,Adventure,Sci-Fi",2018,111.0,5.6,89462,135930148.0
14-07-2017,War for the Planet of the Apes,152000000.0,146880162.0,489592267.0,"Action,Adventure,Drama",2017,140.0,7.5,201943,337592267.0
02-06-2017,Wonder Woman,150000000.0,412563408.0,821133378.0,"Action,Adventure,Fantasy",2017,141.0,7.5,487527,671133378.0
02-06-2017,Wonder Woman,150000000.0,412563408.0,821133378.0,Sci-Fi,2014,60.0,4.2,20,671133378.0
02-06-2017,Wonder Woman,150000000.0,412563408.0,821133378.0,"Documentary,Drama,Sport",2016,75.0,6.9,13,671133378.0
22-11-2013,Frozen,150000000.0,400738009.0,1272469910.0,"Adventure,Drama,Sport",2010,93.0,6.2,62311,1122469910.0
22-11-2013,Frozen,150000000.0,400738009.0,1272469910.0,"Fantasy,Romance",2010,92.0,5.4,75,1122469910.0
22-11-2013,Frozen,150000000.0,400738009.0,1272469910.0,"Adventure,Animation,Comedy",2013,102.0,7.5,516998,1122469910.0
04-03-2016,Zootopia,150000000.0,341268248.0,1019429616.0,"Adventure,Animation,Comedy",2016,108.0,8.0,383446,869429616.0
23-11-2016,Moana,150000000.0,248757044.0,637517365.0,"Adventure,Animation,Comedy",2016,107.0,7.6,224253,487517365.0
08-11-2013,Thor: The Dark World,150000000.0,206362140.0,644602516.0,"Action,Adventure,Fantasy",2013,112.0,6.9,540996,494602516.0
21-07-2017,Dunkirk,150000000.0,190068280.0,499837368.0,"Action,Drama,History",2017,106.0,7.9,466580,349837368.0
06-05-2011,Thor,150000000.0,181030624.0,449326618.0,"Action,Adventure,Fantasy",2011,115.0,7.0,683264,299326618.0
26-05-2011,Kung Fu Panda 2,150000000.0,165249063.0,664837547.0,"Action,Adventure,Animation",2011,90.0,7.2,228465,514837547.0
15-05-2015,Mad Max: Fury Road,150000000.0,153636354.0,370098020.0,"Action,Adventure,Sci-Fi",2015,120.0,8.1,780910,220098020.0
29-03-2018,Ready Player One,150000000.0,137690172.0,579290136.0,"Action,Adventure,Sci-Fi",2018,140.0,7.5,301660,429290136.0
01-07-2010,The Last Airbender,150000000.0,131772187.0,319713881.0,"Action,Adventure,Family",2010,103.0,4.1,137734,169713881.0
30-03-2012,Wrath of the Titans,150000000.0,83670083.0,305270083.0,"Action,Adventure,Fantasy",2012,99.0,5.7,172330,155270083.0
11-05-2012,Dark Shadows,150000000.0,79727149.0,238202668.0,"Comedy,Fantasy,Horror",2012,113.0,6.2,229818,88202668.0
28-06-2013,White House Down,150000000.0,73103784.0,205440387.0,"Action,Drama,Thriller",2013,131.0,6.4,191791,55440387.0
12-02-2010,The Wolfman,150000000.0,62189884.0,142634358.0,"Drama,Fantasy,Horror",2010,103.0,5.8,97873,-7365642.0
